nombrecientifico,familia,nombrecomun,tipoespecie
crotophaga ani,cuculidae,garrapatero,fauna
bocconia frutescens,papaveraceae,trompeto,flora
todirostrum sp,tyrannidae,atrapamoscas,fauna
acacia decurrens,mimosaceae,acacia japonesa,flora
roupala glabriflora,proteaceae,carne fiambre verraquillo,flora
eupatorium inulaefolium,asteraceae,salvia,flora
freziera chrysophylla,theaceae,cerezo,flora
viburnum cornifolium,caprifoliaceae,sauco de monte,flora
piranga rubra*,thraupidae,tangara,fauna
wilsonia canadiensis*,parulidae,null,fauna
verbesina nudipes,asteraceae,camargo,flora
troglodytes aedon,troglodytidae,cucarachero,fauna
notiochelidon cyanoleuca,hirundinidae,golondrina,fauna
symplocus serrulata,symplocaceae,fruta de pava,flora
leptotila verreauxi,columbidae,torcaza,fauna
elaenia flavogaster,tyrannidae,reinita,fauna
myrsine ferruginae,myrsinaceae,espadero,flora
tibouchina lepidota,melastomateceae,sietecueros,flora
catharus ustulatus,cathartidae,gallinazo,fauna
polioptila plumbea,sylviidae,polioptila,fauna
clusia multiflora,clusiaceae,chagualo cucharo,flora
piper sp.,piperaceae,cordoncillo,flora
sporophila minuta,fringillidae,espiguero silga,fauna
otus choliba,strigidae,buho,fauna
vismia baccifera,clusiaceae,carate,flora
vernonia canescens,asteraceae,camargo,flora
baccharis nitida,asteraceae,chilco(a) blanco (a),flora
psidium sp.,myrtaceae,guayabo de barranco,flora
cavendishia pubescens,ericaceae,uvito de monte,flora
tiaris olivacea,frigillidae,espiguero silga,fauna
fourcraea macrophylla,amaryllidaceae,cabuya fique,flora
arthrostema fragile,melastomataceae,siete cueros,flora
euphonia musica,thraupidae,mielerito,fauna
billia columbiana,hoppocastanaceae,cariseco manzano de monte,flora
pyrocephalus rubinus,tyrannidae,pechirrojo,fauna
escallonia paniculata,escalloniaceae,chilco colorado,flora
eucalyptus grandis,myrtaceae,eucalipto,flora
clethra fagifolia,clethraceae,chiriguaco,flora
pteridium aquilinum,pteridaceae,helecho marranero,flora
eugenia jambos,myrtaceae,pomo (a) poma rosa,flora
oporornis philadelphia*,parulidae,null,fauna
icterus icterus,icteridae,turpial platanero,fauna
palicourea angustifolia,rubiaceae,aguadulce,flora
mniotilta varia*,parulidae,reinita trepadora,fauna
macrocarpa macrophylla,gentianaceae,tabaquillo,flora
rubus floribundus,rosaceae,mora silvestre,flora
vanellus chilensis,charadriidae,caravana,fauna
turdus fuscater,turdidae,mayo,fauna
piculus rubiginosus,picidae,carpintero,fauna
ormosia colombiana,fabaceae,chocho,flora
molothrus bonariensis,icteridae,chamon,fauna
weinmania pubescens,cunnoniaceae,encenillo,flora
befaria glauca,ericaceae,carbonero,flora
acacia melanoxylon,mimosaceae,acacia negra,flora
lantana camara,verbenaceae,morita,flora
inga archeri,mimosaceae,guamo,flora
clusia duca,clusiaceae,chagualo cucharo,flora
thraupis episcopus,thraupidae,azulejo,fauna
rhamnus pubescens,rhamnaceae,cabo de hacha,flora
ricinus communis,euphorbiaceae,higuerillo,flora
saurauia ursina,actinidiaceae,dulomoco,flora
vismia guianensis,clusiaceae,carate blanco,flora
guadua angustifolia,gramineae,guadua,flora
dendroica fusca,parulidae,reinita trepadora,fauna
polyborus plancus,falconidae,cara cara,fauna
piper aduncum,piperaceae,cordoncillo,flora
impatiens balsmina,balsaminaceae,besito,flora
columbina talpacoti,coerebidae,mielerito,fauna
solanum sp.,solanaceae,cucubo,flora
psidium guajava,myrtaceae,guayabo (a),flora
tibouchina longifolia,melastomataceae,sietecueros de rastrojo,flora
ulex europeaus,fabaceae,retamo espinoso,flora
spinus psaltria,fringillidae,canario silvestre,fauna
inga sp.,mimosaceae,guamo peludo,flora
brugmansia arborea,solanaceae,borrachero,flora
lipagus fuscocinereus,cotingidae,null,fauna
baccharis latifolia,asteraceae,chilco (a),flora
trichilia sp.,meliaceae,null,flora
croton magdalenensis,euphorbiaceae,drago,flora
vireo leucophrys,vireonidae,vireo,fauna
sporophila nigricollis,fringillidae,espiguero silga,fauna
pheutictus ludovicianus*,fringillidae,degollado,fauna
mimus gilvus,mimidae,sinsonte,fauna
zenaida auriculata,columbidae,torcaza,fauna
palicourea sp.,rubiaceae,aguadulce,flora
rubus idaeus,rosaceae,frambuesa,flora
thraupis palmarum,thraupidae,azulejo,fauna
coereba flaveola,turdidae,buchipecosa,fauna
haplophaedia aureliae,trochilidae,colibrí tominejo,fauna
synallaxis azarea,furnallidae,piscuís,fauna
tangara vitriolina,thraupidae,azulejo de tierra fría,fauna
buteo magnirostris,accipitridae,gavilán,fauna
hedyosmun bomplandianum,chloranthaceae,silbo – silbo granizo,flora
axinaea lehmanii,melastomataceae,nigüito,flora
sayornis nigricans,tyrannidae,gallinacito de río,fauna
citrus aurantium,rutaceae,naranjo agrío,flora
delostoma roseum,bignoniaceae,navaguelo  guayacán,flora
cordia acuta,boraginaceae,guásimo,flora
miconia lehmanii,melastomataceae,nigüito,flora
clidemia hirta,melastomataceae,mortiño común,flora
myiarchus cephalotes,tyrannidae,fío,fauna
amazilia tzacal,throchilidae,colibrí,fauna
zonotrichia capensis,fringillidae,copetón  afrechero,fauna
myiozetetes cayanensis,tyrannidae,sirirí,fauna
cupressus lusitanica,cupressaceas,ciprés  pino ciprés,flora
tyrannus melancholicus,tyrannidae,sirirí,fauna
